THINK AGAIN,by Adam Grant,https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,,,,
THINKING, FAST AND SLOW,by Daniel Kahneman,https://storage.googleapis.com/du-prd/books/images/9781429969352.jpg,When we can and cannot trust our intuitions in making business and personal decisions.,,,
ATOMIC HABITS,by James Clear,https://storage.googleapis.com/du-prd/books/images/9780735211292.jpg,,,,,
SERIOUSLY, SO GOOD,by Carissa Stanton,https://storage.googleapis.com/du-prd/books/images/9781668020722.jpg,,,,
THE CREATIVE ACT,by Rick Rubin with Neil Strauss,https://storage.googleapis.com/du-prd/books/images/9780593652886.jpg,,,,,
SUPERCOMMUNICATORS,by Charles Duhigg,https://storage.googleapis.com/du-prd/books/images/9780593243916.jpg,,,,,
PIZZA NIGHT,by Alexandra Stafford,https://storage.googleapis.com/du-prd/books/images/9780593579947.jpg,,,,,
WONDER,by R.J. Palacio,https://storage.googleapis.com/du-prd/books/images/9780375899881.jpg,A boy with a facial deformity starts school. (Ages 8 to 12),,,,
HEROES,by Alan Gratz,https://storage.googleapis.com/du-prd/books/images/9781338736076.jpg,The friends Frank and Stanley give a vivid account of the Pearl Harbor attack. (Ages 8 to 12),,,,
ODDER,by Katherine Applegate. Illustrated by Charles Santoso,https://storage.googleapis.com/du-prd/books/images/9781250147424.jpg,After a shark attack, Odder recuperates at the aquarium with the scientists who raised her. (Ages 8 to 12),,,
THE SUN AND THE STAR,by Rick Riordan and Mark Oshiro,https://storage.googleapis.com/du-prd/books/images/9781368081153.jpg,The demigods Will and Nico embark on a dangerous journey to the Underworld to rescue an old friend. (Ages 10 to 14),,,,
WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,by Tui T. Sutherland. Illustrated by Joy Ang,https://storage.googleapis.com/du-prd/books/images/9781338634822.jpg,A deeper dive into the legends of the 10 dragon tribes. (Ages 8 to 12),,,,
WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,https://storage.googleapis.com/du-prd/books/images/9781938298073.jpg,Giving a new idea the room to grow. (Ages 5 to 8),,,,
THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,https://storage.googleapis.com/du-prd/books/images/9780385376716.jpg,A celebration of future possibilities. (Ages 3 to 7),,,,
BLUEY: SLEEPYTIME,by Joe Brumm,https://storage.googleapis.com/du-prd/books/images/9780593659588.jpg,Bingo wants to do a big girl sleep and wake up in her own bed. (Ages 4 to 8),,,,
DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,https://storage.googleapis.com/du-prd/books/images/9780803736801.jpg,What to serve your dragon-guests. (Ages 3 to 5),,,,
MY LOST FREEDOM,by George Takei. Illustrated by Michelle Lee,https://storage.googleapis.com/du-prd/books/images/9780593566350.jpg,The actor George Takei tells the story of his family’s incarceration in Japanese internment camps during World War II. (Ages 6 to 9),,,,
BOYS OF TOMMEN,by Chloe Walsh,https://storage.googleapis.com/du-prd/books/images/9781464215995.jpg,In Ireland, friends at the private school Tommen College prepare for adulthood. (Ages 16 to 18),,,
ONCE UPON A BROKEN HEART,by Stephanie Garber,https://storage.googleapis.com/du-prd/books/images/9781250908452.jpg,The story of Evangeline Fox, Jacks, the Prince of Hearts and the pursuit of true love. (Ages 13 to 18),,
DIARY OF A WIMPY KID,written and illustrated by Jeff Kinney,https://storage.googleapis.com/du-prd/books/images/9781419711329.jpg,The travails and challenges of adolescence. (Ages 9 to 12),,,,
A GOOD GIRL'S GUIDE TO MURDER,by Holly Jackson,https://storage.googleapis.com/du-prd/books/images/9780593379851.jpg,Pippa Fitz-Amobi solves murderous crimes. (Ages 14 and up),,,,
WHO WAS/IS . . . ?,by Jim Gigliotti and others; various illustrators,https://storage.googleapis.com/du-prd/books/images/9780448482996.jpg,Biographies unlock legendary lives. (Ages 8 to 11),,,,
POWERLESS,by Lauren Roberts,https://storage.googleapis.com/du-prd/books/images/9781665955997.jpg,Forbidden love is in the air when Paedyn, an Ordinary, and Kai, an Elite, become romantically involved. (Ages 14 and up)
THE REAPPEARANCE OF RACHEL PRICE,by Holly Jackson,https://storage.googleapis.com/du-prd/books/images/9780593374207.jpg,Annabel Price's mother was presumed dead, until she reappears during the filming of a documentary about her disappearance. (Ages 14 to 17),,,
DIVINE RIVALS,by Rebecca Ross,https://storage.googleapis.com/du-prd/books/images/9781250857439.jpg,Two young rival journalists find love through a magical connection. (Ages 13 to 18),,,,
RUTHLESS VOWS,by Rebecca Ross,https://storage.googleapis.com/du-prd/books/images/9781250857453.jpg,"In the sequel to ""Divine Rivals"," Roman and Iris will risk their hearts and futures to change the tides of the war. (Ages 13 to 18)
A DOOR IN THE DARK,by Scott Reintgen,https://storage.googleapis.com/du-prd/books/images/9781665918688.jpg,After a portal spell goes awry, five teenage wizards are stranded in the wilderness. (Ages 14 and up)",,,
