"title","author","img","description","buy"
"THE BACKYARD BIRD CHRONICLES","by Amy Tan","https://storage.googleapis.com/du-prd/books/images/9780593536131.jpg","Essays and drawings by the author of “The Joy Luck Club” and “The Bonesetter's Daughter,” which depict a search for peace through birding.","https://bookshop.org/a/3546/9780593536131"
"THE TRUTHS WE HOLD","by Kamala Harris","https://storage.googleapis.com/du-prd/books/images/9780525560715.jpg","A memoir by the daughter of immigrants who is currently serving as the 49th vice president and is the Democratic Party's 2024 presidential nominee.","https://bookshop.org/a/3546/9780525560739"
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING","by Matthew Perry","https://storage.googleapis.com/du-prd/books/images/9781250866448.jpg","The late actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.","https://bookshop.org/a/3546/9781250866455"
"THE BOOK OF BILL","by Alex Hirsch","https://storage.googleapis.com/du-prd/books/images/9781368104807.jpg","","https://bookshop.org/a/3546/9781368104807"
"ATOMIC HABITS","by James Clear","https://storage.googleapis.com/du-prd/books/images/9780735211292.jpg","","https://bookshop.org/a/3546/9780735211292"
"THE CREATIVE ACT","by Rick Rubin with Neil Strauss","https://storage.googleapis.com/du-prd/books/images/9780593652886.jpg","","https://bookshop.org/a/3546/9780593652886"
"CONSCIOUSNESS IS ALL THERE IS","by Tony Nader","https://storage.googleapis.com/du-prd/books/images/9781401976507.jpg","","https://bookshop.org/a/3546/9781401976507"
"THE NEW WHOLE30","by Melissa Urban","https://storage.googleapis.com/du-prd/books/images/9780593235713.jpg","","https://bookshop.org/a/3546/9780593235713"
"WONDER","by R.J. Palacio","https://storage.googleapis.com/du-prd/books/images/9780375899881.jpg","A boy with a facial deformity starts school. (Ages 8 to 12)","https://bookshop.org/a/3546/9780375869020"
"REFUGEE","by Alan Gratz","https://storage.googleapis.com/du-prd/books/images/9780545880831.jpg","Three children in three different conflicts look for safe haven. (Ages 9 to 12)","https://bookshop.org/a/3546/9780545880831"
"HEROES","by Alan Gratz","https://storage.googleapis.com/du-prd/books/images/9781338736076.jpg","The friends Frank and Stanley give a vivid account of the Pearl Harbor attack. (Ages 8 to 12)","https://bookshop.org/a/3546/9781338736076"
"THE SUN AND THE STAR","by Rick Riordan and Mark Oshiro","https://storage.googleapis.com/du-prd/books/images/9781368081153.jpg","The demigods Will and Nico embark on a dangerous journey to the Underworld to rescue an old friend. (Ages 10 to 14)","https://bookshop.org/a/3546/9781368081153"
"WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD","by Tui T. Sutherland. Illustrated by Joy Ang","https://storage.googleapis.com/du-prd/books/images/9781338634822.jpg","A deeper dive into the legends of the 10 dragon tribes. (Ages 8 to 12)","https://bookshop.org/a/3546/9781338634822"
"THE CRAYONS GO BACK TO SCHOOL","by Drew Daywalt. Illustrated by Oliver Jeffers","https://storage.googleapis.com/du-prd/books/images/9780593621110.jpg","The crayons go back to school and can't wait for art class. (Ages 4 to 8)","https://bookshop.org/a/3546/9780593621110"
"DRAGONS LOVE TACOS","by Adam Rubin. Illustrated by Daniel Salmieri","https://storage.googleapis.com/du-prd/books/images/9780803736801.jpg","What to serve your dragon-guests. (Ages 3 to 5)","https://bookshop.org/a/3546/9780803736801"
"THE WONDERFUL THINGS YOU WILL BE","by Emily Winfield Martin","https://storage.googleapis.com/du-prd/books/images/9780385376716.jpg","A celebration of future possibilities. (Ages 3 to 7)","https://bookshop.org/a/3546/9780385376716"
"THE PIGEON HAS TO GO TO SCHOOL!","by Mo Willems","https://storage.googleapis.com/du-prd/books/images/9781368046459.jpg","Pigeon deals with the anxieties of going to school for the first time. (Ages 3 to 5)","https://bookshop.org/a/3546/9781368046459"
